id_peli,titulo,genero,rating
6,Eenfance naked childhood,Accion,8.2
7,Who is john galt,Accion,6.0
8,How to survive a plague,Accion,8.3
10,The case of lucky legs,Accion,4.2
11,Musketeer,Accion,1.5
14,Casshern,Accion,6.4
15,Dragonquest,Accion,4.8
17,Satans tango ,Accion,7.6
28,The coven,Accion,5.7
40,Saturday night fever,Accion,5.7
43,At the earths core,Accion,1.5
50,Jill the ripper,Accion,3.6
53,47 ronin,Accion,5.6
62,Dawn rider,Accion,7.7
67,Mystery science theater 3000,Accion,4.9
68,Mountaintop motel massacre,Accion,3.7
76,North to alaska,Accion,5.8
86,Creepshow 2,Accion,3.8
88,200 mph,Accion,7.3
93,Ordinary decent criminal,Accion,3.3
96,Way we laughed,Accion,9.3
97,Vie en rose,Accion,10.0
