id_peli,titulo,genero,rating
1,Docks of new york,Comedia,2.3
2,Generals daughter,Comedia,1.4
12,Romantic comedy,Comedia,7.3
13,Fall from grace,Comedia,1.8
20,Boy meets boy,Comedia,5.5
22,Naked in new york,Comedia,3.5
29,Dirty work,Comedia,6.7
32,Chance of a lifetime,Comedia,2.2
33,The snow white murder case,Comedia,4.3
37,Designing woman,Comedia,9.0
39,Bone collector,Comedia,8.6
44,Summer in berlin,Comedia,2.9
46,36 quai des orfevres,Comedia,9.5
57,Dragon ball z,Comedia,6.7
59,1969,Comedia,6.4
60,Flying down to rio,Comedia,1.3
61,Wednesday,Comedia,7.9
65,10 000 timmar,Comedia,4.0
77,Doubt,Comedia,6.9
78,Dark horse,Comedia,3.6
80,Surfs up,Comedia,9.5
81,Carbon copy,Comedia,8.1
82,Rogue cop,Comedia,9.9
90,Cheech and chong,Comedia,3.9
94,Eerie tales,Comedia,2.8
95,Cloverfield,Comedia,5.9
98,Best defense,Comedia,3.6
99,Jimmy rosenberg,Comedia,8.8
