id_peli,titulo,genero,rating
5,Disneyland dream,Drama,9.6
9,The man from the alamo,Drama,7.4
18,Chu chin chow,Drama,2.5
27,Telefon,Drama,1.8
30,Sometimes they come back,Drama,9.6
34,Yonkers joe,Drama,6.3
36,Questioning darwin,Drama,4.4
41,Brute the bruto,Drama,1.2
48,Taxi 4,Drama,5.9
52,That touch of mink,Drama,7.9
54,Heartlands,Drama,5.6
58,Link,Drama,7.3
69,My favorite martian,Drama,9.7
71,Dr. jack,Drama,6.5
72,5 deadly venoms,Drama,9.5
84,Greatest show on earth,Drama,7.4
91,Take me out to the ball game,Drama,2.4
92,Silent house,Drama,6.2
