id_peli,titulo,genero,rating
97,Vie en rose,Accion,10.0
96,Way we laughed,Accion,9.3
8,How to survive a plague,Accion,8.3
6,Eenfance naked childhood,Accion,8.2
62,Dawn rider,Accion,7.7
17,Satans tango ,Accion,7.6
88,200 mph,Accion,7.3
14,Casshern,Accion,6.4
7,Who is john galt,Accion,6.0
76,North to alaska,Accion,5.8
28,The coven,Accion,5.7
40,Saturday night fever,Accion,5.7
53,47 ronin,Accion,5.6
67,Mystery science theater 3000,Accion,4.9
15,Dragonquest,Accion,4.8
10,The case of lucky legs,Accion,4.2
86,Creepshow 2,Accion,3.8
68,Mountaintop motel massacre,Accion,3.7
50,Jill the ripper,Accion,3.6
93,Ordinary decent criminal,Accion,3.3
11,Musketeer,Accion,1.5
43,At the earths core,Accion,1.5
82,Rogue cop,Comedia,9.9
46,36 quai des orfevres,Comedia,9.5
80,Surfs up,Comedia,9.5
37,Designing woman,Comedia,9.0
99,Jimmy rosenberg,Comedia,8.8
39,Bone collector,Comedia,8.6
81,Carbon copy,Comedia,8.1
61,Wednesday,Comedia,7.9
12,Romantic comedy,Comedia,7.3
77,Doubt,Comedia,6.9
29,Dirty work,Comedia,6.7
57,Dragon ball z,Comedia,6.7
59,1969,Comedia,6.4
95,Cloverfield,Comedia,5.9
20,Boy meets boy,Comedia,5.5
33,The snow white murder case,Comedia,4.3
65,10 000 timmar,Comedia,4.0
90,Cheech and chong,Comedia,3.9
78,Dark horse,Comedia,3.6
98,Best defense,Comedia,3.6
22,Naked in new york,Comedia,3.5
44,Summer in berlin,Comedia,2.9
94,Eerie tales,Comedia,2.8
1,Docks of new york,Comedia,2.3
32,Chance of a lifetime,Comedia,2.2
13,Fall from grace,Comedia,1.8
2,Generals daughter,Comedia,1.4
60,Flying down to rio,Comedia,1.3
69,My favorite martian,Drama,9.7
5,Disneyland dream,Drama,9.6
30,Sometimes they come back,Drama,9.6
72,5 deadly venoms,Drama,9.5
52,That touch of mink,Drama,7.9
9,The man from the alamo,Drama,7.4
84,Greatest show on earth,Drama,7.4
58,Link,Drama,7.3
71,Dr. jack,Drama,6.5
34,Yonkers joe,Drama,6.3
92,Silent house,Drama,6.2
48,Taxi 4,Drama,5.9
54,Heartlands,Drama,5.6
36,Questioning darwin,Drama,4.4
18,Chu chin chow,Drama,2.5
91,Take me out to the ball game,Drama,2.4
27,Telefon,Drama,1.8
41,Brute the bruto,Drama,1.2
25,Kick ass,Terror,9.8
64,Ugly truth,Terror,9.3
74,In america,Terror,9.1
89,Phantom,Terror,9.1
45,Presidents man,Terror,9.0
66,My sassy girl,Terror,8.6
23,American winterr,Terror,8.5
42,Experiment in terror,Terror,7.9
85,Quicksilver highway,Terror,7.7
87,Je appelle elisabeth,Terror,7.2
56,Minions,Terror,6.9
70,Pirates who dont do anything,Terror,6.6
83,Dodge city,Terror,6.5
55,Divorcee,Terror,6.3
75,Big mommas like father,Terror,6.3
26,In the cut,Terror,6.2
35,With love,Terror,5.7
19,Cannibal holocaust,Terror,5.6
49,Horrible bosses 2,Terror,5.3
21,Sgt kabukiman,Terror,5.1
73,Deep rising,Terror,4.8
16,North face,Terror,4.5
3,Angry silence,Terror,4.3
38,Battlestar galactica,Terror,3.9
63,Invaders from mars,Terror,3.4
4,Day after trinity,Terror,3.1
51,Robot carnival,Terror,3.1
24,Tic code,Terror,3.0
47,Raiders of the lost ark,Terror,2.2
100,You kill me,Terror,2.2
79,Kanine,Terror,2.1
31,Floundering,Terror,1.2
